Station,Date,Time,Campaign,Institution,River,Latitude,Longitude,Average Velocity (m/s),Flow (m3/s),Distance from Bank,Conductivity (uS/cm),Bulk Density (g/cm3),Real Density (g/cm3),Moisture (%),Organic Matter (%),pH,Sand (%),Silt (%),Clay (%),Textural Classification,0.032 mm - No. 450 (ASTM) (%),0.063 mm - No. 230 (ASTM) (%),0.125 mm - No. 120 (ASTM) (%),0.250 mm - No. 060 (ASTM) (%),0.500 mm - No. 035 (ASTM) (%),1.00 mm - No. 018 (ASTM) (%),2.00 mm - No. 010 (ASTM) (%),Residue (%),Sieve Size,Aluminum (g/100 g fraction) (% Al),Antimony (mg/kg Sb),Arsenic (mg/kg As),Sulfur (g/100 g fraction) (% S),Barium (mg/kg Ba),Beryllium (mg/kg Be),Bismuth (mg/kg Bi),Boron (mg/kg B),Cadmium (mg/kg Cd),Calcium (g/100 g fraction) (% Ca),Cerium (mg/kg Ce),Cesium (mg/kg Cs),Cobalt (mg/kg Co),Copper (mg/kg Cu),Chromium (mg/kg Cr),Dysprosium (mg/kg Dy),Erbium (mg/kg Er),Scandium (mg/kg Sc),Tin (mg/kg Sn),Strontium (mg/kg Sr),Europium (mg/kg Eu),Phosphorus (g/100 g fraction) (% P),Gadolinium (mg/kg Gd),Gallium (mg/kg Ga),Germanium (mg/kg Ge),Hafnium (mg/kg Hf),Iron (g/100 g fraction) (% Fe),Holmium (mg/kg Ho),Indium (mg/kg In),Ytterbium (mg/kg Yb),Yttrium (mg/kg Y),Lanthanum (mg/kg La),Lithium (mg/kg Li),Lutetium (mg/kg Lu),Magnesium (g/100 g fraction) (% Mg),Manganese (mg/kg Mn),Mercury (ug/kg fraction) (ug/kg Hg),Molybdenum (mg/kg Mo),Neodymium (mg/kg Nd),Niobium (mg/kg Nb),Nickel (mg/kg Ni),Gold (ug/kg fraction) (ug/kg Au),Silver (mg/kg Ag),Lead (mg/kg Pb),Potassium (g/100 g fraction) (% K),Praseodymium (mg/kg Pr),Rhenium (mg/kg Re),Rubidium (mg/kg Rb),Samarium (mg/kg Sm),Selenium (mg/kg Se),Sodium (g/100 g fraction) (% Na),Thallium (mg/kg Tl),Tantalum (mg/kg Ta),Tellurium (mg/kg Te),Terbium (mg/kg Tb),Titanium (g/100 g fraction) (% Ti),Thorium (mg/kg Th),Thulium (mg/kg Tm),Uranium (mg/kg U),Vanadium (mg/kg V),Tungsten (mg/kg W),Zinc (mg/kg Zn),Zirconium (mg/kg Zr),Lat_dd,Long_dd,data_source,Apparent Density (g/cm3),0.016 mm (%),4.75 mm - No. 004 (ASTM) (%)
Villamontes,2016-11-30,7:50,November 2016,DE - CTN,Pilcomayo,"21° 15' 31.8""","63° 30' 41.6""",1.365,206.574,0,354,1.47,2.78,26.7,0.63,8.4,95.5,3,1.5,Arena,2.41,26.63,67.86,0.005,0.005,0.005,0.005,3.11,0.063 mm - N° 230 (ASTM),1.08,2.58,8.5,0.5,350,0.7,0.3,8,0.09,0.4,62.5,2.4,140,13.5,17,2.2,0.8,2.7,2.66,33.2,0.9,0.05,4.3,3.62,0.05,0.1,2.23,0.4,0.05,0.6,8.12,28.6,12.6,0.1,0.24,252,290,0.69,28.7,0.3,12.4,0.25,0.15,15.9,0.35,7.9,5e-4,18.7,5.3,0.05,0.07,0.13,0.025,0.24,0.4,0.04,7.5,0.1,0.9,40,300,52.7,7.5,-21.258833,-63.511556,sed_2016_clean.xlsx,NA,NA,NA
Villamontes,2016-11-30,7:50,November 2016,DE - CTN,Pilcomayo,"21° 15' 31.8""","63° 30' 41.6""",1.365,206.574,0,354,1.47,2.78,26.7,0.63,8.4,95.5,3,1.5,Arena,2.41,26.63,67.86,0.005,0.005,0.005,0.005,3.11,0.125 mm - N° 120 (ASTM),0.74,1.08,6.7,0.5,115,0.4,0.16,5,0.03,0.31,24.6,1.65,89,8.28,10,1.2,0.5,1.7,1.66,23,0.4,0.03,2.1,2.47,0.05,0.1,1.28,0.2,0.02,0.3,4.78,10.8,9.5,0.05,0.18,158,5,0.39,11.4,0.1,8.9,0.25,0.11,9.2,0.23,3,5e-4,12.3,2.2,0.05,0.06,0.07,0.025,0.14,0.2,0.01,3.3,0.1,0.4,19,300,32.7,2.8,-21.258833,-63.511556,sed_2016_clean.xlsx,NA,NA,NA
Villamontes,2016-11-30,7:50,November 2016,DE - CTN,Pilcomayo,"21° 15' 31.8""","63° 30' 41.6""",1.365,206.574,0.3,294,1.45,2.59,22.9,0.85,8.3,95.4,3.1,1.5,Arena,7.2,45.65,38.23,0.005,0.005,0.005,0.005,7.91,0.063 mm - N° 230 (ASTM),1.12,1.74,7.1,0.5,217,0.6,0.21,7,0.07,0.38,34,2.59,94.1,12.1,14,1.6,0.6,2.6,1.59,30.2,0.6,0.037,2.8,3.6,0.05,0.1,1.87,0.3,0.04,0.5,6.2,15.4,13.5,0.1,0.25,234,5,0.51,15.6,0.1,11.8,0.25,0.081,13.2,0.35,4.2,5e-4,19.8,3.1,0.05,0.068,0.11,0.025,0.11,0.3,0.019,4.7,0.1,0.6,27,300,48.4,4,-21.258833,-63.511556,sed_2016_clean.xlsx,NA,NA,NA
Villamontes,2016-11-30,7:50,November 2016,DE - CTN,Pilcomayo,"21° 15' 31.8""","63° 30' 41.6""",1.365,206.574,0.3,294,1.45,2.59,22.9,0.85,8.3,95.4,3.1,1.5,Arena,7.2,45.65,38.23,0.005,0.005,0.005,0.005,7.91,0.125 mm - N° 120 (ASTM),0.73,0.95,5.5,0.5,103,0.5,0.16,4,0.06,0.31,21,1.77,99.3,8.86,9,1.1,0.5,4.7,1.24,23.1,0.4,0.027,1.9,2.42,0.05,0.1,1.26,0.2,0.02,0.3,4.53,9.3,9.7,0.05,0.21,156,5,0.34,9.45,0.05,8.6,0.25,0.081,9.23,0.22,2.6,5e-4,12.4,2.1,0.05,0.048,0.05,0.025,0.06,0.2,0.01,3.2,0.1,0.4,16,129,33.5,2.1,-21.258833,-63.511556,sed_2016_clean.xlsx,NA,NA,NA
Misión La Paz - SNIH,2016-11-29,13:45,November 2016,DE - CTN,Pilcomayo,"22° 22' 41.3""","62° 31' 6.6""",0.85,21.93,0,975,1.24,2.54,35.3,2.43,7.8,75,19,6,Franco arenoso,35.01,26.46,1.15,0.005,0.005,0.005,0.005,37.38,0.032 mm - N° 450 (ASTM),1.77,2.27,12.1,0.5,245,1.1,0.33,10,0.11,0.48,42.4,4.77,39.9,18.8,21,2.1,0.8,3.9,2.24,38.7,0.7,0.045,3.6,5.16,0.05,0.1,2.72,0.3,0.06,0.5,7.63,19.7,24,0.1,0.45,331,5,0.58,19.2,0.1,20.4,0.25,0.099,17.5,0.55,5.2,5e-4,30.3,3.8,0.05,0.074,0.19,0.025,0.06,0.4,0.016,7.6,0.1,0.9,33,300,80.6,4.4,-22.378139,-62.5185,sed_2016_clean.xlsx,NA,NA,NA
Misión La Paz - SNIH,2016-11-29,13:45,November 2016,DE - CTN,Pilcomayo,"22° 22' 41.3""","62° 31' 6.6""",0.85,21.93,0,975,1.24,2.54,35.3,2.43,7.8,75,19,6,Franco arenoso,35.01,26.46,1.15,0.005,0.005,0.005,0.005,37.38,0.063 mm - N° 230 (ASTM),1.74,2.22,10.5,0.5,196,1,0.31,11,0.14,0.48,32,4.69,87.7,16,19,1.7,0.7,3.8,2.68,44,0.6,0.037,2.9,5.36,0.05,0.1,2.38,0.3,0.06,0.5,6.8,14.5,22.4,0.1,0.44,293,5,0.49,14.7,0.2,18.2,0.25,0.124,18.5,0.55,3.8,5e-4,31.7,2.9,0.05,0.1,0.21,0.025,0.04,0.3,0.024,5.5,0.1,0.7,31,300,75.5,3.9,-22.378139,-62.5185,sed_2016_clean.xlsx,NA,NA,NA
Misión La Paz - SNIH,2016-11-29,13:45,November 2016,DE - CTN,Pilcomayo,"22° 22' 41.3""","62° 31' 6.6""",0.85,21.93,0.4,1215,1.32,2.7,30.2,2.08,7.8,89,5,6,Arena,35.85,9.87,0.005,0.005,0.005,0.005,0.005,54.28,0.032 mm - N° 450 (ASTM),1.71,2.26,12.9,0.5,211,1.1,0.37,9,0.16,0.5,34.4,5.12,51.4,20.2,21,1.9,0.7,4,2.14,39.2,0.6,0.041,3.2,5.47,0.05,0.1,2.84,0.3,0.06,0.6,7.17,15.5,25,0.1,0.49,349,5,0.59,15.7,0.2,22,0.25,0.107,18.2,0.51,4.1,5e-4,29.2,3.1,0.05,0.08,0.19,0.025,0.02,0.4,0.013,6.6,0.1,0.8,32,300,85.3,4,-22.378139,-62.5185,sed_2016_clean.xlsx,NA,NA,NA
Misión La Paz - SNIH,2016-11-29,13:45,November 2016,DE - CTN,Pilcomayo,"22° 22' 41.3""","62° 31' 6.6""",0.85,21.93,1.5,2350,1.29,2.74,21.8,1.58,8.6,87.5,7.5,5,Arena,31.89,31.45,1.79,0.005,0.005,0.005,0.005,34.86,0.032 mm - N° 450 (ASTM),1.95,2.37,11.6,0.5,270,1.2,0.36,13,0.15,0.49,46.7,4.67,52.1,23.6,22,2.2,0.8,4.1,2.21,44.2,0.7,0.044,3.9,5.85,0.05,0.1,2.78,0.4,0.05,0.6,8.3,21.7,24.4,0.1,0.48,309,5,0.57,20.9,0.1,20.1,0.25,0.095,18.1,0.62,5.7,5e-4,33.9,3.9,0.05,0.098,0.21,0.025,0.04,0.4,0.019,8.3,0.1,0.9,37,300,82.1,5.9,-22.378139,-62.5185,sed_2016_clean.xlsx,NA,NA,NA
Misión La Paz - SNIH,2016-11-29,13:45,November 2016,DE - CTN,Pilcomayo,"22° 22' 41.3""","62° 31' 6.6""",0.85,21.93,1.5,2350,1.29,2.74,21.8,1.58,8.6,87.5,7.5,5,Arena,31.89,31.45,1.79,0.005,0.005,0.005,0.005,34.86,0.063 mm - N° 230 (ASTM),1.4,2.05,11.9,0.5,159,0.8,0.3,9,0.13,0.52,28.9,4.07,96.6,15.1,17,1.6,0.6,3.2,2.13,40.9,0.5,0.036,2.7,4.48,0.05,0.1,2.3,0.3,0.06,0.4,6.03,13,20.5,0.1,0.43,264,5,0.9,13.3,0.2,17.4,0.25,0.278,16,0.43,3.5,5e-4,24.1,2.8,0.05,0.088,0.26,0.025,0.55,0.3,0.019,4.8,0.1,0.6,26,300,72.1,3.6,-22.378139,-62.5185,sed_2016_clean.xlsx,NA,NA,NA
El Puente,2016-11-17,10:55,November 2016,DE - CTN,San Juan del Oro,"21° 14' 21.4""","65° 12' 33.7""",0.172,0.17,1,712,1.59,2.57,23,1.43,8.1,93.63,5.37,1,Arena,4.49,13.22,37.89,33.47,0.005,0.005,0.005,10.93,0.125 mm - N° 120 (ASTM),1.73,3.44,21.7,0.5,138,0.9,0.45,13,0.24,1.01,48.3,5.14,96.7,16.6,16,1.6,0.6,2.5,4.6,92.4,0.8,0.042,3.1,4.62,0.05,0.1,2.09,0.3,0.05,0.5,6.21,23,16.7,0.1,0.34,259,5,1.12,22.7,0.1,15.5,0.25,0.229,22.5,0.36,6.1,5e-4,20.2,4,0.05,0.219,0.2,0.025,0.09,0.3,0.022,5.5,0.1,0.9,27,300,87.9,4.3,-21.239278,-65.209361,sed_2016_clean.xlsx,NA,NA,NA
El Puente,2016-11-17,10:55,November 2016,DE - CTN,San Juan del Oro,"21° 14' 21.4""","65° 12' 33.7""",0.172,0.17,1,712,1.59,2.57,23,1.43,8.1,93.63,5.37,1,Arena,4.49,13.22,37.89,33.47,0.005,0.005,0.005,10.93,0.250 mm - N° 060 (ASTM),1.52,2.79,12.8,0.5,159,0.9,0.42,10,0.17,0.77,35.3,4.9,74.9,15.6,15,1.5,0.6,2.2,5.1,71.1,0.5,0.035,2.5,4.6,0.05,0.1,1.92,0.3,0.03,0.5,5.94,17.7,18.4,0.1,0.35,234,5,0.81,16.3,0.1,15.2,0.25,0.124,21.6,0.38,4.5,5e-4,22,2.8,0.05,0.155,0.15,0.025,0.07,0.3,0.022,5.6,0.1,0.9,26,300,81.7,4.8,-21.239278,-65.209361,sed_2016_clean.xlsx,NA,NA,NA
El Puente,2016-11-17,10:55,November 2016,DE - CTN,San Juan del Oro,"21° 14' 21.4""","65° 12' 33.7""",0.172,0.17,0,830,1.53,2.64,24.7,1.4,8.1,94.43,4.57,1,Arena,3.92,18.47,47.38,22.79,0.005,0.005,0.005,7.44,0.063 mm - N° 230 (ASTM),2.12,4.88,17.4,0.5,307,1,0.5,20,0.31,1.68,167,7.21,77.7,19.9,38,3.4,1.1,4,4.25,124,2.2,0.078,8.9,6.61,0.05,0.1,3.66,0.5,0.07,0.8,11.3,78.3,20.5,0.1,0.49,377,840,1.47,81.1,0.6,19.7,0.7,0.125,29.1,0.51,21.7,5e-4,28.7,14.4,0.05,0.208,0.23,0.025,0.04,0.8,0.107,11.9,0.1,1.5,91,300,118,6.6,-21.239278,-65.209361,sed_2016_clean.xlsx,NA,NA,NA
El Puente,2016-11-17,10:55,November 2016,DE - CTN,San Juan del Oro,"21° 14' 21.4""","65° 12' 33.7""",0.172,0.17,0,830,1.53,2.64,24.7,1.4,8.1,94.43,4.57,1,Arena,3.92,18.47,47.38,22.79,0.005,0.005,0.005,7.44,0.125 mm - N° 120 (ASTM),1.86,3.58,12.4,0.5,164,1,0.32,13,0.16,0.94,73.3,5.47,61.2,16.9,18,1.9,0.7,3,2.87,98.1,1.1,0.048,4.2,5.05,0.05,0.1,2.15,0.3,0.06,0.6,7.26,34.1,16.6,0.1,0.35,210,5,1.47,33.9,0.3,15.1,0.25,0.281,22.9,0.41,9.2,5e-4,22.4,6,0.05,0.249,0.25,0.025,0.56,0.4,0.036,6.3,0.1,0.9,33,300,87.7,4.5,-21.239278,-65.209361,sed_2016_clean.xlsx,NA,NA,NA
El Puente,2016-11-17,10:55,November 2016,DE - CTN,San Juan del Oro,"21° 14' 21.4""","65° 12' 33.7""",0.172,0.17,0,830,1.53,2.64,24.7,1.4,8.1,94.43,4.57,1,Arena,3.92,18.47,47.38,22.79,0.005,0.005,0.005,7.44,0.250 mm - N° 060 (ASTM),1.64,2.78,16.2,0.5,176,0.9,0.34,11,0.13,0.83,40.7,5.04,127,16.9,17,1.5,0.6,2.6,4.25,78.4,0.6,0.034,2.6,4.77,0.05,0.1,2.09,0.3,0.05,0.5,6.18,19.7,18.4,0.1,0.37,183,5,1.05,18.6,0.2,15.5,0.25,0.175,21.6,0.42,5.1,5e-4,23.8,3.2,0.05,0.179,0.2,0.025,0.24,0.3,0.028,5.7,0.1,0.9,29,300,88,4.8,-21.239278,-65.209361,sed_2016_clean.xlsx,NA,NA,NA
El Puente,2016-11-17,10:55,November 2016,DE - CTN,San Juan del Oro,"21° 14' 21.4""","65° 12' 33.7""",0.172,0.17,0.3,999,1.57,2.72,24.1,1.55,8,56.57,12.43,1,Arena,5.31,23.43,43.37,14.19,0.005,0.005,0.005,13.71,0.063 mm - N° 230 (ASTM),2.33,4.24,12.8,0.5,299,1.2,0.49,22,0.35,1.73,135,7.46,62.5,20.6,34,3,1,4.6,2.97,131,1.8,0.067,7.4,7.07,0.05,0.1,3.36,0.5,0.07,0.7,10.3,63.3,23.3,0.1,0.52,406,110,1.44,64.5,0.4,19.5,0.25,0.154,29.1,0.62,17.4,5e-4,33,11.3,0.05,0.228,0.29,0.025,0.15,0.7,0.09,10.7,0.1,1.4,79,300,114,6.3,-21.239278,-65.209361,sed_2016_clean.xlsx,NA,NA,NA
El Puente,2016-11-17,10:55,November 2016,DE - CTN,San Juan del Oro,"21° 14' 21.4""","65° 12' 33.7""",0.172,0.17,0.3,999,1.57,2.72,24.1,1.55,8,56.57,12.43,1,Arena,5.31,23.43,43.37,14.19,0.005,0.005,0.005,13.71,0.125 mm - N° 120 (ASTM),1.67,3.65,14.8,0.5,146,0.9,0.32,12,0.2,0.9,67.4,5.34,66,16.7,17,1.9,0.7,2.6,2.33,91.6,1,0.045,4.1,4.76,0.05,0.1,2.22,0.3,0.06,0.5,6.88,31.6,17,0.1,0.35,235,5,1.12,31.5,0.4,16.4,0.25,0.116,23.2,0.35,8.5,5e-4,19.8,5.5,0.05,0.207,0.15,0.025,0.09,0.4,0.034,6.4,0.1,0.9,30,300,104,4.9,-21.239278,-65.209361,sed_2016_clean.xlsx,NA,NA,NA
El Puente,2016-11-17,10:55,November 2016,DE - CTN,San Juan del Oro,"21° 14' 21.4""","65° 12' 33.7""",0.172,0.17,0.3,999,1.57,2.72,24.1,1.55,8,56.57,12.43,1,Arena,5.31,23.43,43.37,14.19,0.005,0.005,0.005,13.71,0.250 mm - N° 060 (ASTM),2.1,3.04,12.3,0.5,196,1.1,0.31,13,0.18,0.79,39,5.48,118,16,19,1.6,0.7,2.9,3.64,96.6,0.6,0.033,2.7,6.05,0.05,0.1,1.99,0.3,0.04,0.5,6.46,19.1,19.6,0.1,0.39,196,5,0.89,17.1,0.1,15.7,0.25,0.116,23.1,0.59,4.9,5e-4,31.4,3,0.05,0.272,0.25,0.025,0.06,0.3,0.036,6,0.1,0.9,33,300,87.2,5.8,-21.239278,-65.209361,sed_2016_clean.xlsx,NA,NA,NA
Palca Grande,2016-11-17,8:20,November 2016,DE - CTN,Tumusla,"20° 44' 32.7""","65° 14' 26.1""",0.377,1.516,5,681,1.43,2.59,28.3,2.63,8.1,83.38,15.62,1,Arenoso franco,6.17,45.92,36.98,0.005,0.005,0.005,0.005,10.93,0.063 mm - N° 230 (ASTM),2.15,4.38,28.2,0.5,429,1.1,0.59,18,0.23,0.98,52,5.57,47.1,19.6,20,1.7,0.6,3.8,7.01,55.3,0.8,0.039,3.5,6.49,0.05,0.2,2.73,0.3,0.07,0.4,6.41,24.8,23.9,0.1,0.56,361,5,1.32,24.4,0.05,20.6,0.25,0.135,22.2,0.73,6.5,5e-4,36.8,4.3,0.1,0.069,0.28,0.025,0.08,0.4,0.02,6.3,0.1,1,35,300,99.8,6.4,-20.742417,-65.240583,sed_2016_clean.xlsx,NA,NA,NA
Palca Grande,2016-11-17,8:20,November 2016,DE - CTN,Tumusla,"20° 44' 32.7""","65° 14' 26.1""",0.377,1.516,5,681,1.43,2.59,28.3,2.63,8.1,83.38,15.62,1,Arenoso franco,6.17,45.92,36.98,0.005,0.005,0.005,0.005,10.93,0.125 mm - N° 120 (ASTM),2.21,5.78,23.1,0.5,226,1.1,1.33,19,0.14,0.78,33.8,5.35,60,21,20,1.4,0.5,4,12.8,48.2,0.6,0.033,2.7,6.43,0.05,0.2,2.76,0.2,0.07,0.4,5.45,16,25.4,0.05,0.53,345,5,1.42,15.8,0.05,21.1,0.25,0.159,24.4,0.75,4.2,5e-4,39.1,3,0.1,0.086,0.3,0.025,0.07,0.3,0.018,5.9,0.1,0.9,33,138,100,5.3,-20.742417,-65.240583,sed_2016_clean.xlsx,NA,NA,NA
Palca Grande,2016-11-17,8:20,November 2016,DE - CTN,Tumusla,"20° 44' 32.7""","65° 14' 26.1""",0.377,1.516,0,950,1.37,2.7,35.3,3.4,8,49.4,48.6,2,Franco arenoso,28.03,11.73,0.005,0.005,0.005,0.005,0.005,60.25,0.032 mm - N° 450 (ASTM),2.17,6.29,25.1,0.5,441,1.1,0.68,17,0.15,0.83,51.1,7.75,54.6,22.8,22,1.7,0.6,4.2,5.87,60.2,0.8,0.04,3.6,6.91,0.05,0.2,3.27,0.3,0.07,0.4,6.29,24.7,28.8,0.1,0.55,402,5,1.4,23.6,0.05,24.9,0.25,0.132,23.8,0.68,6.4,5e-4,37.4,4.4,0.05,0.086,0.28,0.025,0.03,0.4,0.031,7.4,0.1,0.9,37,300,118,6.7,-20.742417,-65.240583,sed_2016_clean.xlsx,NA,NA,NA
Palca Grande,2016-11-17,8:20,November 2016,DE - CTN,Tumusla,"20° 44' 32.7""","65° 14' 26.1""",0.377,1.516,1,5040,1.44,2.65,24.1,3.28,8.1,60.1,38.9,1,Franco arenoso,16.8,25.55,21.91,0.005,0.005,0.005,0.005,35.74,0.032 mm - N° 450 (ASTM),3.37,3.18,14.5,0.5,548,1.4,0.68,35,0.22,1.51,52.1,6.07,49.6,18.4,29,2.1,0.8,5.7,7.11,83.3,0.9,0.04,3.7,9.22,0.05,0.3,3.03,0.4,0.07,0.6,8.05,24.8,33.2,0.1,0.82,449,5,1.37,24.9,0.05,23.5,0.25,0.12,26.2,1.18,6.8,5e-4,58.2,4.7,0.05,0.1,0.48,0.025,0.03,0.4,0.028,8.5,0.1,1.3,53,300,99.8,10.4,-20.742417,-65.240583,sed_2016_clean.xlsx,NA,NA,NA
Palca Grande,2016-11-17,8:20,November 2016,DE - CTN,Tumusla,"20° 44' 32.7""","65° 14' 26.1""",0.377,1.516,1,5040,1.44,2.65,24.1,3.28,8.1,60.1,38.9,1,Franco arenoso,16.8,25.55,21.91,0.005,0.005,0.005,0.005,35.74,0.063 mm - N° 230 (ASTM),2.3,5.56,21.9,0.5,417,1.1,0.7,27,0.18,1.11,51.5,4.28,54.6,18.6,21,1.8,0.6,4.1,7.91,62.8,0.8,0.043,3.5,6.24,0.05,0.2,2.84,0.3,0.06,0.5,6.61,24.2,27.1,0.1,0.57,382,5,1.85,25,0.1,21,0.25,0.22,22.5,0.77,6.6,5e-4,37.4,4.5,0.05,0.076,0.37,0.025,0.42,0.4,0.034,6.9,0.1,1,38,300,95.6,7.1,-20.742417,-65.240583,sed_2016_clean.xlsx,NA,NA,NA
Palca Grande,2016-11-17,8:20,November 2016,DE - CTN,Tumusla,"20° 44' 32.7""","65° 14' 26.1""",0.377,1.516,1,5040,1.44,2.65,24.1,3.28,8.1,60.1,38.9,1,Franco arenoso,16.8,25.55,21.91,0.005,0.005,0.005,0.005,35.74,0.125 mm - N° 120 (ASTM),2.14,11.5,57.3,0.5,179,1.5,2.13,27,0.18,1.02,40.7,4.5,84.3,30.4,20,1.8,0.6,4.4,15.3,134,0.7,0.053,3.3,6.08,0.05,0.1,3.9,0.3,0.12,0.5,6.2,19,28.5,0.1,0.4,380,5,2.36,19,0.2,25.4,2.6,0.233,33.8,0.63,5.1,5e-4,34.6,3.7,0.3,0.15,0.26,0.025,0.16,0.4,0.024,5.4,0.1,0.9,32,300,141,3.8,-20.742417,-65.240583,sed_2016_clean.xlsx,NA,NA,NA
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,2016-11-16,14:00,November 2016,DE - CTN,Tacobamba,"19° 8' 11.5""","65° 34' 4.2""",0.5,0.129,0,1609,1.16,2.67,0.7,3.13,7.8,40.08,55.92,4,Franco limoso,9.1,7.77,0.005,0.005,0.005,0.005,0.005,83.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.136528,-65.567833,sed_2016_clean.xlsx,NA,NA,NA
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,2016-11-16,14:00,November 2016,DE - CTN,Tacobamba,"19° 8' 11.5""","65° 34' 4.2""",0.5,0.129,0.5,1204,1.46,2.8,22.8,2.03,8.1,64.7,34.3,1,Franco arenoso,10.85,41.05,31.39,0.005,0.005,0.005,0.005,16.71,0.063 mm - N° 230 (ASTM),0.95,1.5,6.4,0.5,315,0.8,0.2,10,0.05,0.27,17.9,2.19,9,18.7,236,1.4,0.6,3,1.07,33.9,0.4,0.034,2.1,3,0.05,0.1,2.61,0.3,0.04,0.4,5.91,7.8,8.4,0.1,0.23,450,40,1.46,8.55,0.05,17.9,0.25,0.142,14.6,0.36,2.2,5e-4,18.6,1.9,0.05,0.04,0.11,0.025,0.12,0.3,0.007,4.2,0.1,0.6,10,0.05,45.3,3.3,-19.136528,-65.567833,sed_2016_clean.xlsx,NA,NA,NA
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,2016-11-16,14:00,November 2016,DE - CTN,Tacobamba,"19° 8' 11.5""","65° 34' 4.2""",0.5,0.129,0.5,1204,1.46,2.8,22.8,2.03,8.1,64.7,34.3,1,Franco arenoso,10.85,41.05,31.39,0.005,0.005,0.005,0.005,16.71,0.125 mm - N° 120 (ASTM),0.84,1.05,5.4,0.5,172,0.6,0.14,9,0.06,0.35,14,1.61,8.2,19.3,302,1.3,0.5,2.8,0.94,34.4,0.4,0.039,1.9,2.84,0.05,0.1,2.4,0.2,0.03,0.4,5.69,6.1,8.1,0.05,0.25,413,30,2.05,6.88,0.05,18.7,0.25,0.102,12.4,0.32,1.7,5e-4,16.5,1.6,0.05,0.037,0.08,0.025,0.08,0.2,0.007,3.1,0.1,0.6,5,0.05,40.2,2.7,-19.136528,-65.567833,sed_2016_clean.xlsx,NA,NA,NA
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,2016-11-16,10:55,November 2016,DE - CTN,Pilcomayo,"19° 7' 44.8""","65° 34' 24.5""",0.672,2.647,0,548,1.63,2.6,23.2,1.42,8.5,91.64,7.36,1,Arena,3.55,19.05,32.17,17.17,2.49,0.43,2.25,22.89,0.063 mm - N° 230 (ASTM),1.16,6.93,23.5,0.5,632,0.9,0.44,15,0.24,0.58,37.4,7.32,9,21.8,249,1.8,0.7,3.7,2.95,40.9,0.5,0.046,2.9,2.61,0.05,0.1,2.94,0.3,0.19,0.5,6.71,18.1,12.2,0.1,0.24,424,160,1.53,16.5,0.2,17.6,0.25,0.332,22,0.39,4.5,5e-4,21.2,3,0.05,0.067,0.19,0.025,0.11,0.3,0.05,7.4,0.1,0.8,18,0.8,111,4.9,-19.129111,-65.573472,sed_2016_clean.xlsx,NA,NA,NA
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,2016-11-16,10:55,November 2016,DE - CTN,Pilcomayo,"19° 7' 44.8""","65° 34' 24.5""",0.672,2.647,0,548,1.63,2.6,23.2,1.42,8.5,91.64,7.36,1,Arena,3.55,19.05,32.17,17.17,2.49,0.43,2.25,22.89,0.125 mm - N° 120 (ASTM),0.97,8.76,24.5,0.5,303,0.8,0.34,12,0.23,0.63,21.5,5.22,6.8,18.2,273,1.4,0.6,2.7,3.49,44.8,0.4,0.049,2.1,2.53,0.05,0.1,2.16,0.3,0.26,0.4,5.92,9.9,10.1,0.1,0.22,385,40,1.63,9.86,0.2,13.8,0.25,0.289,30.5,0.32,2.6,5e-4,16.8,2.1,0.05,0.079,0.21,0.025,0.05,0.3,0.045,3.7,0.1,0.6,9,0.7,127,3.4,-19.129111,-65.573472,sed_2016_clean.xlsx,NA,NA,NA
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,2016-11-16,10:55,November 2016,DE - CTN,Pilcomayo,"19° 7' 44.8""","65° 34' 24.5""",0.672,2.647,0,548,1.63,2.6,23.2,1.42,8.5,91.64,7.36,1,Arena,3.55,19.05,32.17,17.17,2.49,0.43,2.25,22.89,0.250 mm - N° 060 (ASTM),0.68,4.44,15.2,0.5,117,0.5,0.28,7,0.12,0.42,14,3.6,5.1,94.7,338,0.8,0.3,2,1.99,31.4,0.2,0.024,1.3,2.18,0.05,0.1,1.59,0.1,0.16,0.2,3.44,6.6,7.6,0.05,0.16,262,130,1.98,6.21,0.1,12.1,0.25,0.369,17.8,0.24,1.7,5e-4,13.2,1.2,0.05,0.066,0.14,0.025,0.03,0.2,0.028,2.5,0.05,0.5,1,0.7,75.8,2.5,-19.129111,-65.573472,sed_2016_clean.xlsx,NA,NA,NA
