Station,Code,Date,Time,Campaign,Responsible,Institution,River,Basin,Latitude,Longitude,Latitude Decimal,Longitude Decimal,Average Velocity (m/s),Flow (m3/s),Resistivity (Ohm.cm),Partial Pressure (mm Hg),pH,pH (mV),Specific Conductivity (T ref. 25°C) (uS/cm),Salinity (Sal),Temperature (°C),Dissolved Oxygen (mg/l O2),Oxygen Saturation (%),Turbidity (NTU),Total Solids (mg/l),Total Dissolved Solids (mg/l),Total Suspended Solids (mg/l),Color (u PtCo),Total Hardness (mg/l CaCO3),Phenolphthalein Alkalinity (mg/l CaCO3),Total Alkalinity (mg/l CaCO3),Chlorides (mg/l Cl-),Sulfates (mg/l SO4),Dissolved Calcium (mg/l Ca),Dissolved Magnesium (mg/l Mg),Dissolved Sodium (mg/l Na),Dissolved Potassium (mg/l K),Total Calcium (mg/l Ca),Total Magnesium (mg/l Mg),Total Sodium (mg/l Na),Total Potassium (mg/l K),Total Phosphorus (mg/l PO4),Dissolved Phosphorus (mg/l PO4),Ammoniacal Nitrogen (mg/l NH4),Nitrite (mg/l NO2),Nitrate (mg/l NO3),Total Kjeldahl Nitrogen (mg/l N),Biochemical Oxygen Demand (mg/l O2),Chemical Oxygen Demand (mg/l O2),Dissolved Organic Carbon (mg/l),Total Coliforms (CFU) (CFU/100 ml),Fecal Coliforms (CFU) (CFU/100 ml),Total Coliforms (MPN) (MPN/100 ml),Fecal Coliforms (MPN) (MPN/100 ml),Total Mesophilic Aerobes (CFU) (CFU/100 ml),Dissolved Bismuth (ug/l Bi),Total Bismuth (ug/l Bi),Dissolved Thallium (ug/l Tl),Total Thallium (ug/l Tl),Dissolved Chromium (ug/l Cr),Dissolved Manganese (ug/l Mn),Dissolved Nickel (ug/l Ni),Dissolved Copper (ug/l Cu),Dissolved Zinc (ug/l Zn),Dissolved Arsenic (ug/l As),Dissolved Cadmium (ug/l Cd),Dissolved Lead (ug/l Pb),Dissolved Silver (ug/l Ag),Dissolved Mercury (ug/l Hg),Dissolved Iron (ug/l Fe),Dissolved Boron (ug/l B),Dissolved Selenium (ug/l Se),Total Chromium (ug/l Cr),Total Manganese (ug/l Mn),Total Nickel (ug/l Ni),Total Copper (ug/l Cu),Total Zinc (ug/l Zn),Total Arsenic (ug/l As),Total Cadmium (ug/l Cd),Total Lead (ug/l Pb),Total Silver (ug/l Ag),Total Mercury (ug/l Hg),Total Iron (ug/l Fe),Total Boron (ug/l B),Total Selenium (ug/l Se),Cyanides (mg/l CN-),Free Cyanides (mg/l CN-),Sulfides (mg/l S),Phenols (mg/l C6H6O),Total Hydrocarbons (mg/l),Suspended Thallium (mg/kg Tl),Suspended Selenium (mg/kg Se),Suspended Zinc (mg/kg Zn),Suspended Lead (mg/kg Pb),Suspended Arsenic (mg/kg As),Suspended Bismuth (mg/kg Bi),Suspended Boron (mg/kg B),Suspended Cadmium (mg/kg Cd),Suspended Copper (mg/kg Cu),Suspended Chromium (mg/kg Cr),Suspended Iron (mg/kg Fe),Suspended Manganese (mg/kg Mn),Suspended Nickel (mg/kg Ni),Suspended Silver (mg/kg Ag)
Negro Ruta PY09,PR9N-230,29/09/2016,8:10,September 2016,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Negro,,"24° 11' 21.96""","58° 17' 58.68""",-24.1894,-58.2996,,,,,7.815,-68.5,5670,3.1,23.9,5.23,63.9,59.7,3673,3610,63,175,408,0,167.4,1383.3,663,123,25,1200.1,24.72,123,25,1204.07,24.82,1.02,0.86,0.241,0.073,0.022,0.358,6.3,70.81,,8000,460,,,,0.1,1.5,0.05,0.5,0.4,27,2,1,1,4,0.05,0.1,0.05,,137,625,1,3,442,12.5,12.5,12.5,7,0.5,4,0.5,,3112,730,26,,,0.0005,0.0005,0.25,,412.7,,,47.62,,1666.67,,,41.27,47222.22,6587.3,,
Puente Loyola,APL-320,28/09/2016,11:35,September 2016,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,Cuenca Paraguay,"25° 15' 52.2""","57° 43' 28.62""",-25.2645,-57.7246,,,,,8.278,-95.7,4550,2.4,24.4,10.86,132.6,20.3,2998,2958,40,40,331.55,0,224.1,928.9,726.3,90.24,24.51,1000.1,40.51,91.5,25,1005.4,42.79,0.54,0.43,0.287,0.055,0.022,0.199,5.7,45.34,,19000,240,,,,0.1,1.5,0.05,0.5,11,1,6,1,2,2,0.05,0.1,0.05,,397,,1,1.5,351,12.5,12.5,12.5,5,0.5,1.5,0.5,,1424,,12.5,,,0.0005,0.0005,0.25,,,,,75,,,,,,25675,8775,,
Ruta 11,AR11-290,28/09/2016,9:30,September 2016,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Montelindo,,"25° 47' 16.26""","58° 1' 16.74""",-25.7878,-58.0213,,,,,8.187,-89.5,4250,2.3,22.4,8.44,99.6,46.3,3005,2925.6,79.4,40,352,13.5,275.4,727,952.1,109.1,17.84,1007.54,18.1,110.17,18.54,1009.17,19.29,1.48,1.44,0.144,0.08,0.022,0.22,3.6,41.62,,24000,200,,,,0.1,1.5,0.05,0.5,6,51,8,4,3,10,0.05,0.1,0.05,,456,971,6,1.5,228,12.5,12.5,12.5,6,0.5,1.5,0.5,,1554,1380,12.5,,,0.0005,0.0005,0.82,,,,,,,5151.13,,,,13828.72,2229.22,,
General Bruguez,PGB-250,02/09/2016,13:15,September 2016,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,Chaco Paraguayo,"24° 44' 54.06""","58° 49' 59.22""",-24.7483,-58.8331,,,,,8.474,-107.7,32600,20.5,25.5,8.82,123.1,4.32,19059.1,19005,54.1,10,1586.18,83.7,515.7,10016.1,7600.9,465,95,10040.7,24.93,470,100,10045.2,25.41,2.16,0.07,0.0025,0.022,0.022,0.21,2.7,521.74,,42000,100,,,,0.1,1.5,0.05,0.5,0.6,43,3,1,6,10,0.05,0.1,0.05,,179,836,2,3,44,12.5,40,49,29,0.5,4,0.5,,1662,4648,83,,,0.0005,0.0005,0.62,,1497.23,794.82,,351.2,,70462.11,,739.37,44.36,27412.2,18.48,,
San Josecito,BSJ-130,01/09/2016,15:24,September 2016,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilaya,Unidad 6,21 9 8.04,64 14 1.74,-21.1522,-64.2338,0.446,8,,,8.457,-107,1171,0.5,22.3,8.43,107.8,12.8,1014,986,22,24.5,552,31.25,156,56.8,512,90.9,77.9,90.5,7.86,95.2,85,97.5,11.5,0.015,0.09,,0.005,0.005,0.3,9.8,17,,,,900,34,18000,0.1,1.5,0.05,0.5,2,22,5,1,2,6,0.05,0.1,0.05,,314,908,1,1.5,59,12.5,12.5,12.5,5,0.5,1.5,0.5,,766,1303,12.5,,0.01,0.5,,0.019,,,,,,,17954.55,,,,20545.45,1681.82,,
Puente Aruma - Automática,BPA-140,01/09/2016,8:00,September 2016,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,Unidad 7,20 54 49.86,64 6 37.68,-20.9136,-64.1105,0.284,22,,,8.195,-90,1272,0.6,17.7,8.43,95.5,11.2,885,862,12,37.5,429,27.9,141,185,352,67.1,62.7,145,11.3,71.1,81,169,13.3,0.09,0.06,,,,0.1,13.7,15,,,,1500,90,52000,0.1,1.5,0.05,0.5,2,11,3,1,1,6,0.05,0.1,0.05,,228,542,1,1.5,49,12.5,12.5,12.5,4,0.5,1.5,0.5,,483,745,12.5,,0.01,0.5,0.0005,0.019,,,,,,,16916.67,,,,21250,3166.67,,
Villamontes,BVI-150,31/08/2016,17:00,August 2016,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,Unidad 7,21 15 31.5,63 30 41.52,-21.2588,-63.5114,0.221,23,,,8.311,-98,1466,0.7,20.6,8.52,100.4,14.8,970,940,16,62,390,28.7,144,295,279,72.9,50,163,9.03,73.8,69.2,183,15.5,0.09,0.06,,,,0.3,15.8,18,,,,280,17,17000,0.1,1.5,0.05,0.5,2,7,4,2,1,6,0.05,0.1,0.05,,255,536,1,1.5,38,12.5,12.5,31,4,0.5,1.5,0.5,,528,594,12.5,,0.01,0.5,0.0005,0.019,,,1937.5,,,,3625,,,,17062.5,1937.5,,
El Puente,BEP-100,30/08/2016,15:40,August 2016,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,San Juan del Oro,Unidad 5,"21° 14' 21.53""","65° 12' 34.45""",-21.2393,-65.2096,0.3,2,,,8.414,-103.1,1492,0.7,19,7.94,114.4,13.4,1322,1312,10,11,663.2,10,160,101.9,460.3,111.75,85.61,108.6,9.7,113.79,85.61,109.1,11.5,0.18,0.09,0.45,0.01,0.005,2.9,2.5,2,12,0,0,,,3,0.1,1.5,0.05,0.5,3,29,7,1,1,4,0.05,0.1,0.05,,438,1833,1,1.5,50,12.5,12.5,12.5,4,0.5,1.5,0.5,,1210,2715,12.5,,0.001,0.0005,0.0005,,,,,,0,,88200,,,,77200,2100,,
Palca Grande,BPG-110,30/08/2016,13:45,August 2016,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tumusla,Unidad 4,"20° 44' 32.22""","65° 14' 28.32""",-20.7422,-65.2412,0.428,3,,,8.338,-97.6,1297,0.6,15.5,8.42,111.8,59,1113,1062,51,18,498.2,10,130,74.9,349.9,74.49,68.98,81.3,9.9,74.49,68.98,88.3,11.8,0.09,0.09,0.49,0.01,2.15,2.2,5,7,39,4,1,,,23,0.1,1.5,0.05,0.5,2,140,6,1,2,7,0.05,0.1,0.05,,272,858,1,1.5,190,12.5,12.5,12.5,5,0.5,1.5,0.5,,1525,1000,12.5,,0.001,0.0005,0.0005,,,,,,,,2784.31,,,,24568.63,980.39,,
Marca Borrada,AMB-165,16/08/2016,13:15,August 2016,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,,"22° 12' 48.84""","62° 41' 16.92""",-22.2136,-62.688,,,,,8.203,-85.6,1253,0.6,26.7,7.62,99.2,304,1186,825,361,6,302,,94,186,337,71,30.3,162,8.2,,,,,,,0.1,0.015,,,1,9,,,,7500,91,,0.1,1.5,0.05,0.5,1,18,4,2,1,4,0.05,0.1,0.05,,255,505,1,4,194,12.5,12.5,35,5,0.5,7,0.5,,6607,677,12.5,,,,0.0005,0.019,,,96.95,,2.77,,476.45,,,8.31,17595.57,487.53,,
María Cristina,AMC-190,15/08/2016,13:45,August 2016,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,La Estrella,Bañado La Estrella,"22° 40' 4.26""","62° 12' 31.44""",-22.6679,-62.2087,,,,,8.163,-83,1337,0.6,25.5,7.72,98.1,618,1026,876,150,4,302,,136,196,345,65,34,191,6.5,,,,,,,0.025,0.03,,,2,8,,,,2300,91,,0.1,1.5,0.05,0.5,1,19,4,2,1,3,0.05,0.1,0.05,,240,480,1,8,428,12.5,12.5,64,10,0.5,16,0.5,,14754,690,12.5,,,,0.0005,0.019,,,426.67,63.33,46.67,,1400,,,46.67,96760,2726.67,,
El Potrillo,AEP-180,15/08/2016,10:15,August 2016,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,La Estrella,Bañado La Estrella,"23° 8' 17.58""","61° 57' 49.68""",-23.1381,-61.9638,,,,,8.187,-83.6,1305,0.6,22.7,7.8,93.4,799,1982,788,1194,8,295,,121,189,285,66,32,169,6.9,,,,,,,0.07,0.015,,,1,5,,,,430,430,,0.1,1.5,0.05,0.5,1,1,4,2,1,3,0.05,0.1,0.05,,252,482,1,1.5,744,27,31,91,11,0.5,20,0.5,,19847,1147,12.5,,,,0.0005,0.019,,,76.21,10.97,6.7,,556.95,,24.29,,16411.22,623.12,19.26,
Ruta 28-Vertedero,AR28-300,14/08/2016,14:15,August 2016,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,La Estrella,Bañado La Estrella,"24° 21' 31.38""","60° 18' 22.86""",-24.3587,-60.3064,,,,,7.467,-42.4,987,0.4,19.8,7.21,81.4,0.5,628,594,34,18,291,,153,110,286,73,26,110,6.9,,,,,,,0.025,0.015,,,1,19,,,,150,15,,0.1,1.5,0.05,0.5,2,4,4,1,1,2,0.05,0.1,0.05,,267,266,1,1.5,7,12.5,12.5,12.5,1.5,0.5,1.5,0.5,,364,360,12.5,,,,0.0005,0.019,,,,,,,2764.71,,,,2852.94,88.24,,
Salida Laguna Salada,ASL-270,14/08/2016,10:00,August 2016,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Salada,,"24° 41' 46.8""","59° 49' 2.82""",-24.6961,-59.8172,,,,,7.947,-69.5,2340,1.2,19.6,7.69,86,217.2,1608,1358,250,29,368,,205,291,755,85,38,395,7.8,,,,,,,0.025,0.015,,,1,34,,,,4300,36,,0.1,1.5,0.05,0.5,2,60,4,2,1,3,0.05,0.1,0.05,,281,680,1,5,184,12.5,12.5,45,3,0.5,5,0.5,,3149,897,12.5,,,,0.0005,0.019,,,180,,0,,868,,,12,11472,496,,
Liviara,ALI-020,11/08/2016,11:00,August 2016,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Orosmayo,,22 31 46.14,66 20 59.46,-22.5295,-66.3499,0.271,0,,,8.362,-86.6,994,0.4,1.3,8.45,95,11.97,683,646,29,61,214,23.7,122,234,185,47.1,23.1,130,12.3,50.2,26.2,136,13.6,0.34,0.18,,,,0.37,5.8,52,,,,16,0.5,58,0.1,1.5,0.2,0.5,0.5,9,2,2,30,14,0.3,0.1,0.05,,116,2072,3,1.5,19,12.5,12.5,53,13,0.5,1.5,0.5,,543,6556,12.5,,20.02,0.5,0.0005,0.019,,,793.1,,,,154620.69,,,,14724.14,344.83,,
La Quiaca,ALQ-040,10/08/2016,9:30,August 2016,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,La Quiaca,Unidad 5,"22° 5' 51.48""","65° 35' 9.48""",-22.0975,-65.5858,0.367,0,,,8.591,-100.2,872,0.4,6.5,6.18,75.3,146,558,458,100,43,134.2,,240,135.1,71,23.5,18.34,74.3,14.6,23.5,18.48,79.7,14.6,8.09,7.79,38.77,0.01,1.91,39.2,101,119,40,81000,72000,,,120,0.1,1.5,0.05,0.5,0.6,42,3,1,5,10,0.05,0.1,0.05,,171,863,2,4,76,12.5,25,157,12,0.5,9,0.5,,1661,994,12.5,,0.001,0.179,0.006,0.019,,,1520,,20,,1310,,250,34,14900,340,,
Chuquiago,BCH-060,03/08/2016,17:30,August 2016,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,San Juan del Oro,Unidad 5,"21° 33' 39.6""","65° 38' 50.52""",-21.561,-65.6474,0.782,2,,,8.739,-115.5,1238,0.6,15.5,7.07,100.5,42,1090,1044,46,16,450.9,20,170,56.5,296.1,90.56,54.59,89.5,7,94,56.44,88.9,7,0.31,0.25,0.41,0.03,2.62,4.3,10,13,76,25,3,,,160,0.1,1.5,0.05,0.5,1,5,5,1,1,3,0.05,0.1,0.05,,315,1889,1,1.5,60,12.5,12.5,12.5,3,0.5,1.5,0.5,,1601,2574,12.5,,0.001,0.005,0.0005,0.019,,,,,0,,14891.3,,,,27956.52,1195.65,,
