Station,Code,Date,Time,Campaign,Responsible,Institution,River,Basin,Latitude,Longitude,Latitude Decimal,Longitude Decimal,Average Velocity (m/s),Flow (m3/s),Resistivity (Ohm.cm),Partial Pressure (mm Hg),pH,pH (mV),Specific Conductivity (T ref. 25C) (uS/cm),Salinity (Sal),Temperature (C),Dissolved Oxygen (mg/l O2),Oxygen Saturation (%),Turbidity (NTU),Total Solids (mg/l),Total Dissolved Solids (mg/l),Total Suspended Solids (mg/l),Color (u PtCo),Total Hardness (mg/l CaCO3),Phenolphthalein Alkalinity (mg/l CaCO3),Total Alkalinity (mg/l CaCO3),Chlorides (mg/l Cl-),Sulfates (mg/l SO4),Dissolved Calcium (mg/l Ca),Dissolved Magnesium (mg/l Mg),Dissolved Sodium (mg/l Na),Dissolved Potassium (mg/l K),Total Calcium (mg/l Ca),Total Magnesium (mg/l Mg),Total Sodium (mg/l Na),Total Potassium (mg/l K),Total Phosphorus (mg/l PO4),Dissolved Phosphorus (mg/l PO4),Ammoniacal Nitrogen (mg/l NH4),Nitrite (mg/l NO2),Nitrate (mg/l NO3),Total Kjeldahl Nitrogen (mg/l N),Biochemical Oxygen Demand (mg/l O2),Chemical Oxygen Demand (mg/l O2),Dissolved Organic Carbon (mg/l),Total Coliforms (CFU/100 ml),Fecal Coliforms (CFU/100 ml),Total Coliforms (MPN) (MPN/100 ml),Fecal Coliforms (MPN) (MPN/100 ml),Total Mesophilic Aerobes (CFU/100 ml),Dissolved Bismuth (ug/l Bi),Total Bismuth (ug/l Bi),Dissolved Thallium (ug/l Tl),Total Thallium (ug/l Tl),Dissolved Chromium (ug/l Cr),Dissolved Manganese (ug/l Mn),Dissolved Nickel (ug/l Ni),Dissolved Copper (ug/l Cu),Dissolved Zinc (ug/l Zn),Dissolved Arsenic (ug/l As),Dissolved Cadmium (ug/l Cd),Dissolved Lead (ug/l Pb),Dissolved Silver (ug/l Ag),Dissolved Mercury (ug/l Hg),Dissolved Iron (ug/l Fe),Dissolved Boron (ug/l B),Dissolved Selenium (ug/l Se),Total Chromium (ug/l Cr),Total Manganese (ug/l Mn),Total Nickel (ug/l Ni),Total Copper (ug/l Cu),Total Zinc (ug/l Zn),Total Arsenic (ug/l As),Total Cadmium (ug/l Cd),Total Lead (ug/l Pb),Total Silver (ug/l Ag),Total Mercury (ug/l Hg),Total Iron (ug/l Fe),Total Boron (ug/l B),Total Selenium (ug/l Se),Cyanides (mg/l CN-),Sulfides (mg/l S),Phenols (mg/l C6H6O),Total Hydrocarbons (mg/l),Suspended Thallium (mg/kg Tl),Suspended Selenium (mg/kg Se),Suspended Zinc (mg/kg Zn),Suspended Lead (mg/kg Pb),Suspended Arsenic (mg/kg As),Suspended Bismuth (mg/kg Bi),Suspended Boron (mg/kg B),Suspended Cadmium (mg/kg Cd),Suspended Copper (mg/kg Cu),Suspended Chromium (mg/kg Cr),Suspended Iron (mg/kg Fe),Suspended Manganese (mg/kg Mn),Suspended Nickel (mg/kg Ni),Suspended Silver (mg/kg Ag),data_source,Total Mesophilic Aerobes (MPN) (MPN/100 ml),Suspended Mercury (mg/kg Hg),Fluorides (mg/l F),pH in laboratory,Settleable Solids (ml/l),Total Organic Carbon (mg/l),Total Mesophilic Aerobes (MPN/100 ml),Total Coliforms (MPN/100 ml),Fecal Coliforms (MPN/100 ml)
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,BTC-116,2017-10-03,12:55,October 2017,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tacobamba,NA,19 8 38.82,65 33 56.7,-19.1441,-65.5658,NA,NA,1320,146,8.494,-89.6,757,0.3,23.7,5.99,100.3,10.3,543,542,1,2,348.4,5,150,15.7,416.8,48.94,54.94,26.3,6.6,49.05,55.29,26.3,6.8,0.18,0.09,0.31,0.01,1.01,1.5,2.5,1,NA,22,15,NA,NA,NA,0.1,1,0.1,1,0.5,21,2,1,1,1,0.1,0.1,0.1,0.02,128,204,1,2,39,10,10,10,10,1,1,1,0.05,786,175,10,0.001,5e-4,5e-4,0.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,1500,658000,18000,NA,NA,water_2017_clean.xlsx,0,NA,NA,NA,NA,NA,NA,NA,NA
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,BPT-118,2017-10-03,11:40,October 2017,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,NA,"19° 7' 55.74""","65° 34' 18.18""",-19.1322,-65.5717,NA,NA,825,163.7,8.503,-87.8,1212,0.5,15.2,7.85,109.6,173,876,746,130,21,322.5,5,140,201.2,401.1,62.69,40.29,167.6,11.6,63.57,41.06,169.2,11.9,0.34,0.34,1.2,0.44,13.3,3.6,2.5,1,NA,27,5,NA,NA,NA,0.1,1,0.1,1,0.2,140,2,6,28,16,0.1,0.4,0.1,0.02,116,996,1,8,362,10,98,1399,81,4,142,2,0.05,6910,1961,10,0.001,0.004,5e-4,0.044,NA,NA,10546.15,1003.08,500,NA,7423.08,30.77,707.69,60,52261.54,1707.69,NA,15.38,water_2017_clean.xlsx,3,NA,NA,NA,NA,NA,NA,NA,NA
Colavi - Canutillos,BC7-113,2017-10-02,13:15,October 2017,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Colavi,Unidad 1,19 19 17.16,65 33 6.9,-19.3214,-65.5519,0.261,0,3270,132.9,6.489,25.2,306,0.1,16.3,6.25,99.6,120,256,196,60,0.025,57.4,2.5,2.5,5.3,10.8,11,7.27,1.6,1.2,11.83,8.31,2.3,1.3,0.18,0.09,1.75,0.01,0.005,2.9,2.5,1,NA,0,0,NA,NA,NA,0.1,1,0.1,1,0.1,2933,16,8,675,1,3,0.1,0.1,0.02,1477,58,1,1,1992,10,143,390,10,1,1,1,0.05,10643,4,10,0.001,5e-4,5e-4,0.019,NA,NA,NA,NA,NA,NA,NA,NA,2250,NA,152766.67,NA,NA,NA,water_2017_clean.xlsx,0,NA,NA,NA,NA,NA,NA,NA,NA
Puente Mendez,BPM-120,2017-10-02,9:10,October 2017,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,Unidad 2,"19° 21' 26.70""","65° 10' 23.16""",-19.3574,-65.1731,0.686,4,701,169.3,8.594,-92.4,1428,0.7,14,8.32,106.1,133,954,852,102,15,236.9,10,150,251.2,12,50,27.22,183.3,10,51.32,27.82,186.4,10.2,0.43,0.4,1.26,0.13,6.45,2.2,2.5,1,NA,50,20,NA,NA,NA,0.1,1,0.1,1,0.4,47,2,3,2,11,0.1,0.1,0.1,0.02,136,782,1,12,252,10,10,99,22,1,5,1,0.05,5658,1417,10,0.001,0.003,5e-4,0.019,NA,NA,950.98,NA,107.84,NA,6225.49,NA,NA,113.73,54137.25,2009.8,NA,NA,water_2017_clean.xlsx,10,NA,NA,NA,NA,NA,NA,NA,NA
Misión La Paz - SNIH,AML-170,2017-08-29,10:30,August 2017,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,Cuenca Baja,"22° 22' 39.60""","62° 31' 6.42""",-22.3777,-62.5185,0.559,11,626,197.8,8.347,-81.1,1596,0.8,24.1,8.02,99.8,244,1190,917,224,0.5,551,NA,154,241,257,70,91,96,3.8,NA,NA,NA,NA,NA,NA,0.025,0.015,NA,NA,1,3,NA,NA,NA,NA,NA,NA,0.1,1,0.05,0.5,1,8,3,2,2,3,0.05,0.1,0.05,0.02,227,871,1,4,187,12,12,40,10,0.5,9,0.5,0.278,11112,911,10,NA,NA,NA,NA,NA,NA,169.64,23.21,NA,NA,178.57,NA,44.64,13.39,48593.75,799.11,40.18,NA,water_2017_clean.xlsx,NA,1.25,NA,NA,NA,NA,NA,NA,NA
Villamontes,BVI-150,2017-08-28,6:50,August 2017,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,Unidad 7,"21° 15' 32.34""","63° 30' 42""",-21.259,-63.5117,0.217,22,661,191.3,8.445,-86.4,1514,0.7,23,7.93,97.8,18.9,956,934,13,NA,339.08,29.815,140.97,242.7,301.92,67.3,41,181,8.57,70.1,52.1,194,11.1,NA,NA,NA,NA,NA,NA,0.5,6,NA,NA,NA,NA,NA,NA,0.1,1,0.05,0.5,1,4,2,2,2,4,0.05,0.1,0.05,0.02,201,799,1,1,55,3,3,10,10,0.5,1,0.5,0.05,741,827,10,NA,0.5,NA,NA,NA,NA,615.38,NA,NA,NA,2153.85,NA,76.92,NA,41538.46,3923.08,76.92,NA,water_2017_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
El Puente,BEP-100,2017-08-17,14:25,August 2017,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,San Juan del Oro,Unidad 5,"21° 14' 18.94""","65° 12' 39.01""",-21.2386,-65.2108,0.332,2,682,185.9,8.476,-86.2,1464,0.7,18.5,8.35,119,7.87,169,158,11,NA,420.9,5,155,91.1,453.8,77.01,52.45,102.9,8.2,78.55,54.59,99.6,8,NA,NA,NA,NA,NA,NA,2.5,1,NA,NA,NA,NA,NA,NA,0.1,1,0.05,0.5,0.1,33,4,1,2,4,0.05,0.1,0.05,0.02,364,2888,1,1,39,7,8,43,10,0.5,3,0.5,0.05,808,3003,10,NA,0.003,NA,NA,NA,NA,3727.27,NA,NA,NA,10454.55,NA,636.36,NA,40363.64,545.45,272.73,NA,water_2017_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palca Grande,BPG-110,2017-08-17,11:25,August 2017,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tumusla,Unidad 4,"20° 44' 32.34""","65° 14' 27.06""",-20.7423,-65.2409,0.485,4,866,166.8,8.45,-83.1,1154,0.5,13.4,8.29,105.3,100,1183,1152,31,NA,331.3,5,120,48.8,390.9,59.2,42.99,70.6,7.9,60.92,43.52,68.7,7.7,NA,NA,NA,NA,NA,NA,2.5,1,NA,NA,NA,NA,NA,NA,0.1,1,0.05,0.5,0.1,56,4,1,2,4,0.05,0.1,0.05,0.02,193,1288,1,8,194,14,5,25,10,0.5,3,0.5,0.05,2990,1378,10,NA,5e-4,NA,NA,NA,NA,741.94,NA,NA,NA,2903.23,NA,129.03,258.06,90225.81,4451.61,322.58,NA,water_2017_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,BTC-116,2017-08-16,12:45,August 2017,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tacobamba,NA,19 7 56.0,65 34 19.3,-19.1322,-65.572,0.728,0,1540,147.7,8.582,-92.2,649,0.2,20.2,6.44,100.3,14.6,500,494,4,NA,265.8,15,185,5.5,139.4,39.99,39.3,19.1,5.5,40.57,39.94,19.4,5.5,NA,NA,NA,NA,NA,NA,2.5,5,NA,NA,NA,NA,NA,NA,0.1,1,0.05,0.5,1,233,3,1,4,1,0.05,0.1,0.05,0.02,165,179,1,1,276,4,9,41,10,0.5,1,0.5,0.05,1402,137,10,NA,5e-4,NA,NA,NA,NA,9250,NA,NA,NA,NA,NA,2000,NA,309250,10750,250,NA,water_2017_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,BPT-118,2017-08-16,11:00,August 2017,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,NA,"19° 7' 58.92""","65° 34' 9.18""",-19.133,-65.5692,0.898,3,908,157.7,8.518,-86.1,1107,0.5,11.8,8.17,105,94.1,877,736,139,NA,148.2,2.5,140,181.1,98,30.32,16.47,142.1,10.4,31.14,17.12,153.3,10.7,NA,NA,NA,NA,NA,NA,9,13,NA,NA,NA,NA,NA,NA,0.1,1,0.05,0.5,0.6,216,3,4,51,19,0.1,0.1,0.05,0.02,162,1695,1,1,426,5,74,447,43,2,11,0.5,0.05,4119,2015,10,NA,5e-4,NA,NA,NA,NA,2848.92,4.32,172.66,NA,2302.16,13.67,503.6,NA,28467.63,1510.79,14.39,NA,water_2017_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tarapaya,BTA-050,2017-08-15,15:25,August 2017,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tarapaya,Unidad 1,19 28 18.42,65 47 39.9,-19.471800000000002,-65.7944,0.417,1,872,99.6,7.763,-44.5,1147,0.5,15,4.8,71.5,210,948,738,209,NA,309.4,2.5,140,82.7,278,101.3,13.11,80.3,20,102.28,13.11,82.6,20.1,NA,NA,NA,NA,NA,NA,44,52,NA,NA,NA,NA,NA,NA,0.1,1,0.1,0.5,0.5,761,11,18,645,37,1,0.1,0.05,0.02,410,360,1,1,1234,16,120,3512,144,11,41,2,0.213,16587,327,10,NA,0.002,NA,NA,NA,NA,13717.7,100.48,511.96,NA,NA,47.85,488.04,NA,77401.91,2263.16,23.92,9.57,water_2017_clean.xlsx,NA,1,NA,NA,NA,NA,NA,NA,NA
Colavi - Canutillos,BC7-113,2017-08-15,11:25,August 2017,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Colavi,Unidad 1,19 19 15.36,65 33 6.96,-19.3209,-65.5519,0.344,0,3570,136,6.495,27.2,279,0,9.9,7.32,100.2,43.4,291,244,48,NA,61.1,2.5,2.5,2.6,59.9,12.21,6.75,1.5,1.4,12.61,7.18,2,1.4,NA,NA,NA,NA,NA,NA,2.5,1,NA,NA,NA,NA,NA,NA,0.1,1,0.05,0.5,0.1,2725,19,114,940,1,4,0.1,0.05,0.02,3752,47,1,1,3633,19,330,885,10,4,2,0.5,0.05,12217,7,10,NA,5e-4,NA,NA,NA,NA,NA,12.5,NA,NA,NA,0,4500,NA,176354.17,18916.67,0,NA,water_2017_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palca Grande,BPG-110,2017-03-30,14:55,March 2017,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tumusla,Unidad 4,"20° 44' 32.28""","65° 14' 28.44""",-20.7423,-65.2412,0.584,5,990,151.7,8.479,-107.7,1010,0.4,23.8,6.21,98.5,786,1650,872,778,NA,208.1,5,135,27.7,142.3,46.24,22.45,72.1,8.8,46.31,22.45,72.1,8.8,NA,NA,NA,NA,NA,NA,22,26,NA,NA,NA,NA,NA,NA,0.1,0.5,0.05,1,0.1,25,3,1,1,4,0.05,0.1,0.05,NA,179,1193,1,31,518,28,25,137,14,0.5,27,0.5,NA,31857,1285,10,NA,0.006,NA,NA,NA,NA,176.09,23.39,12.85,NA,118.25,NA,32.13,39.85,40717.22,633.68,32.13,NA,water_2017_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
El Puente,BEP-100,2017-03-30,11:50,March 2017,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,San Juan del Oro,Unidad 5,21 14 20.46,65 12 36.96,-21.239,-65.2103,0.587,4,854,157,8.493,-107.7,1171,0.5,21.2,6.71,100.8,NA,3759,944,2815,NA,476.7,0.25,170,36.9,162.7,113.72,46.64,86.2,8.9,113.72,46.8,86.2,9.1,NA,NA,NA,NA,NA,NA,40,50,NA,NA,NA,NA,NA,NA,0.1,1,0.05,1,0.1,6,4,1,1,6,0.05,0.1,0.05,NA,296,2531,1,74,1510,87,82,318,46,0.5,105,0.5,NA,107169,2761,10,NA,0.004,NA,NA,NA,NA,112.97,34.14,14.21,0.36,81.71,NA,29.13,26.29,37965.54,534.28,29.48,NA,water_2017_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,BTC-116,2017-03-29,13:10,March 2017,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tacobamba,NA,"19° 7' 55.68""","65° 34' 12.18""",-19.1321,-65.5701,0.935,2,2370,147.1,8.316,-96.8,421,0.1,19.1,6.55,98.9,1650,5600,326,5274,NA,180.6,2.5,120,9,46.3,30.39,25.6,10.9,6.5,30.55,25.91,11.2,6.6,NA,NA,NA,NA,NA,NA,2.5,7,NA,NA,NA,NA,NA,NA,0.1,2,0.05,2,0.1,5,1,1,1,0.1,0.05,0.1,0.05,NA,109,113,1,110,3693,134,109,276,37,0.5,103,0.5,0.425,181039,244,10,NA,0.003,NA,NA,0.38,NA,52.33,18.3,7,0.38,24.84,NA,20.67,20.86,34306.03,699.28,25.41,NA,water_2017_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,BPT-118,2017-03-29,12:25,March 2017,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,NA,"19° 7' 55.8""","65° 34' 20.16""",-19.1322,-65.5723,1.346,14,1469,148,8.316,-96.4,681,0.3,17.3,6.8,99.3,1650,4085,464,3622,NA,159.9,2.5,110,81.2,53.2,34.4,18.21,66,7.7,34.48,18.53,67.8,7.9,NA,NA,NA,NA,NA,NA,2.5,7,NA,NA,NA,NA,NA,NA,0.1,6,0.05,3,2,19,1,2,7,7,0.05,0.2,0.05,NA,145,781,1,135,3295,166,195,1088,205,3,152,2,0.36,224969,975,10,NA,0.003,NA,NA,0.83,NA,298.45,39.84,54.67,1.66,53.56,0.83,53.29,36.72,62071.78,904.47,45.83,0.55,water_2017_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tarapaya,BTA-050,2017-03-28,18:00,March 2017,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tarapaya,Unidad 1,"19° 28' 18.78""","65° 47' 38.94""",-19.4719,-65.7942,0.714,2,1307,132.5,7.368,-43,764,0.3,17.1,6.12,95.3,534,1045,628,417,NA,283.8,2.5,35,43.4,138.6,93.67,10.99,37.3,8.8,95.54,10.99,37.3,8.9,NA,NA,NA,NA,NA,NA,18,21,NA,NA,NA,NA,NA,NA,0.1,2,0.2,1,0.1,1347,13,12,2124,22,9,0.1,0.05,NA,268,286,0.2,12,1976,28,376,4741,185,18,56,3,0.23,29821,293,10,NA,0.008,NA,NA,NA,NA,6275.78,113.19,390.89,4.8,16.79,21.58,872.9,28.78,70870.5,1508.39,35.97,7.19,water_2017_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colavi - Canutillos,BC7-113,2017-03-28,14:30,March 2017,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Colavi,Unidad 1,19 19 16.44,65 33 6.6,-19.3212,-65.5518,0.5,0,2790,134.2,4.332,129.5,358,0.1,14.8,6.52,99.6,53.2,307,306,1,NA,58.7,2.5,2.5,2.8,97.2,9.84,7.85,3.6,1.7,9.93,8.24,3.8,1.7,NA,NA,NA,NA,NA,NA,2.5,1,NA,NA,NA,NA,NA,NA,0.1,1,0.05,0.5,0.1,3284,28,723,1162,0.1,5,3,0.6,NA,11547,50,1,1,3877,28,720,987,12,5,6,4,NA,19259,38,10,NA,0.005,NA,NA,NA,NA,NA,4300,11900,NA,NA,0,NA,NA,7712000,593000,0,3400,water_2017_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canutillos 3,BC3-112,2017-03-28,12:30,March 2017,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Canutillos,Unidad 1,19 20 47.5,65 32 42.9,-19.3465,-65.5452,NA,NA,505,123,2.761,216.6,1982,1,12.3,6.24,96,4.73,2060,2058,2,NA,46,2.5,2.5,9.9,948.2,12.2,3.58,6.7,1.9,12.4,3.64,6.8,1.9,NA,NA,NA,NA,NA,NA,25,29,NA,NA,NA,NA,NA,NA,2,3,0.2,0.5,27,14111,118,3928,6902,398,38,12,9,NA,177827,56,1,25,15050,131,5741,6916,405,36,13,27,NA,202798,34,10,NA,0.007,NA,NA,NA,NA,7000,5550,3500,500,NA,NA,906500,NA,12485500,469500,6500,9000,water_2017_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Misión La Paz - SNIH,AML-170,2017-03-22,15:30,March 2017,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,Cuenca Baja,"22° 22' 41.16""","62° 31' 6.9""",-22.3781,-62.5186,1.46,166,2190,162.8,7.676,-58.4,458,0.1,26.1,6.44,81.9,1650,5391,344,4662,NA,172.2,15.1,73.6,49.5,14.5,42.3,15.3,30.9,6.76,69.8,90,37.9,272,NA,NA,NA,NA,NA,NA,1,63,NA,NA,NA,NA,NA,NA,0.1,6,0.05,7,0.7,3,1,1,3,2,0.05,0.1,0.05,NA,118,337,1,369,3944,255,195,708,112,2,292,2,0.587,240459,927,10,NA,0.5,NA,NA,1.5,NA,151.22,61.18,23.6,1.29,126.56,0.43,41.83,79,51553.2,845.35,54.7,0.43,water_2017_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Villamontes,BVI-150,2017-03-21,7:30,March 2017,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,Unidad 7,"21° 15' 31.56""","63° 30' 41.64""",-21.2588,-63.5116,0.94,150,2130,202,8.049,-79.8,469,0.1,23.4,8.33,102,1650,6716,366,6694,NA,160.2,11.7,59.9,39.9,17.1,37.8,17.4,29.3,3.88,69.8,73.8,46.2,254,NA,NA,NA,NA,NA,NA,6,185,NA,NA,NA,NA,NA,NA,0.3,12,0.05,6,0.4,1,1,1,1,3,0.1,0.1,0.2,NA,104,342,1,230,2486,161,152,561,121,3,236,3,0.609,152586,834,10,NA,0.5,NA,NA,0.9,NA,83.81,34.68,17.63,1.75,73.5,0.43,22.71,34.3,22778.91,371.38,24.05,0.42,water_2017_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
General Bruguez,PGB-250,2018-10-18,14:45,October 2018,UMyCD,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,Chaco Paraguayo,24 44 53.88,58 49 58.98,-24.7483,-58.833,NA,NA,177,95.4,7.39,-29.7,5650,3.1,31.7,3.45,48.1,52.9,3540.2,3511,29.2,125,562.5,0,119.6,1189.6,817.57,113.36,100.15,1189.95,11.45,117.09,100.26,1244.68,13.38,2.45,0.783,0.049,0.048,0.54,1.03,4,125.6,NA,149280,4980,NA,NA,24630000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5e-4,5e-4,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,water_2018_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cadete Pando,PCP-240,2018-10-18,13:00,October 2018,UMyCD,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Confuso,Chaco Paraguayo,24 24 34.74,58 53 9.84,-24.4097,-58.8861,NA,NA,7910,57.6,6.56,20,126,0,28.3,2.2,27.3,4.71,91.8,88,3.8,150,23,0,33.8,11.7,3.21,6.02,2.63,12.85,8.15,6.06,2.74,14.16,10.57,3.37,1,0.04,0.036,0.19,0.173,7.4,67.63,NA,29900,3700,NA,NA,16474000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5e-4,5e-4,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,water_2018_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Verde Ruta PY09,PR9V-210,2018-10-17,13:15,October 2018,UMyCD,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Verde,NA,23 12 54.06,59 12 9.36,-23.215,-59.2026,NA,NA,12.57,NA,8.86,-119.6,79500,55.6,34,14.16,NA,3.76,55601.3,55555,46.3,88,7790,272.7,580.7,24992.3,37531.6,951.95,1604.97,26631.3,343.22,999.16,1645.71,27573.3,400.84,3.07,0.978,0.006,0.022,0.42,0.378,7.1,323.67,NA,18900,1260,NA,NA,11781000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5e-4,5e-4,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,water_2018_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montelindo en ruta PY09,PR9M-260,2018-10-17,12:20,October 2018,UMyCD,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Montelindo,NA,23 53 35.34,58 26 47.1,-23.8932,-58.4464,NA,NA,31.4,172.8,8.03,-68.5,31800,20,30.9,6.34,86.9,57,22347,22305,42,62,3360,40.4,293,9477.1,5720.79,1104.48,489.97,7983.02,72.84,1129.88,529.22,8260.62,79.53,4.906,1,0.134,0.067,0.3,0.204,7.4,124.64,NA,6200,624,NA,NA,3410000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5e-4,5e-4,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,water_2018_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Negro Ruta PY09,PR9N-230,2018-10-17,10:54,October 2018,UMyCD,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Negro,NA,24 11 22.62,58 18 0.6,-24.1896,-58.3002,NA,NA,3480,61,6.77,8.3,288,0,24.3,2.49,30.2,17.6,212.5,209,3.5,100,39,0,31.2,68.6,42.51,8.2,5.62,49.75,40.14,8.32,5.67,51.22,48.32,1.806,0.529,0.16,0.147,0.487,1.12,2.4,77.3,NA,25200,3780,NA,NA,13860000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5e-4,5e-4,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,water_2018_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
