Station,Code,Date,Time,Campaign,Responsible,Institution,River,Basin,Latitude,Longitude,Latitude Decimal,Longitude Decimal,Average Velocity (m/s),Flow (m3/s),Resistivity (Ohm.cm),Partial Pressure (mm Hg),pH,pH (mV),Specific Conductivity (T ref. 25C) (uS/cm),Salinity (Sal),Temperature (C),Dissolved Oxygen (mg/l O2),Oxygen Saturation (%),Turbidity (NTU),Total Solids (mg/l),Total Dissolved Solids (mg/l),Total Suspended Solids (mg/l),Color (u PtCo),Total Hardness (mg/l CaCO3),Phenolphthalein Alkalinity (mg/l CaCO3),Total Alkalinity (mg/l CaCO3),Chlorides (mg/l Cl-),Sulfates (mg/l SO4),Dissolved Calcium (mg/l Ca),Dissolved Magnesium (mg/l Mg),Dissolved Sodium (mg/l Na),Dissolved Potassium (mg/l K),Total Calcium (mg/l Ca),Total Magnesium (mg/l Mg),Total Sodium (mg/l Na),Total Potassium (mg/l K),Total Phosphorus (mg/l PO4),Dissolved Phosphorus (mg/l PO4),Ammoniacal Nitrogen (mg/l NH4),Nitrite (mg/l NO2),Nitrate (mg/l NO3),Total Kjeldahl Nitrogen (mg/l N),Biochemical Oxygen Demand (mg/l O2),Chemical Oxygen Demand (mg/l O2),Dissolved Organic Carbon (mg/l),Total Coliforms (CFU/100 ml),Fecal Coliforms (CFU/100 ml),Total Coliforms (MPN) (MPN/100 ml),Fecal Coliforms (MPN) (MPN/100 ml),Total Mesophilic Aerobes (CFU/100 ml),Dissolved Bismuth (ug/l Bi),Total Bismuth (ug/l Bi),Dissolved Thallium (ug/l Tl),Total Thallium (ug/l Tl),Dissolved Chromium (ug/l Cr),Dissolved Manganese (ug/l Mn),Dissolved Nickel (ug/l Ni),Dissolved Copper (ug/l Cu),Dissolved Zinc (ug/l Zn),Dissolved Arsenic (ug/l As),Dissolved Cadmium (ug/l Cd),Dissolved Lead (ug/l Pb),Dissolved Silver (ug/l Ag),Dissolved Mercury (ug/l Hg),Dissolved Iron (ug/l Fe),Dissolved Boron (ug/l B),Dissolved Selenium (ug/l Se),Total Chromium (ug/l Cr),Total Manganese (ug/l Mn),Total Nickel (ug/l Ni),Total Copper (ug/l Cu),Total Zinc (ug/l Zn),Total Arsenic (ug/l As),Total Cadmium (ug/l Cd),Total Lead (ug/l Pb),Total Silver (ug/l Ag),Total Mercury (ug/l Hg),Total Iron (ug/l Fe),Total Boron (ug/l B),Total Selenium (ug/l Se),Cyanides (mg/l CN-),Sulfides (mg/l S),Phenols (mg/l C6H6O),Total Hydrocarbons (mg/l),Suspended Thallium (mg/kg Tl),Suspended Selenium (mg/kg Se),Suspended Zinc (mg/kg Zn),Suspended Lead (mg/kg Pb),Suspended Arsenic (mg/kg As),Suspended Bismuth (mg/kg Bi),Suspended Boron (mg/kg B),Suspended Cadmium (mg/kg Cd),Suspended Copper (mg/kg Cu),Suspended Chromium (mg/kg Cr),Suspended Iron (mg/kg Fe),Suspended Manganese (mg/kg Mn),Suspended Nickel (mg/kg Ni),Suspended Silver (mg/kg Ag),data_source,Total Mesophilic Aerobes (MPN) (MPN/100 ml),Suspended Mercury (mg/kg Hg),Fluorides (mg/l F),pH in laboratory,Settleable Solids (ml/l),Total Organic Carbon (mg/l),Total Mesophilic Aerobes (MPN/100 ml),Total Coliforms (MPN/100 ml),Fecal Coliforms (MPN/100 ml)
Negro Ruta PY09,PR9N-230,2016-09-29,8:10,September 2016,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Negro,NA,"24° 11' 21.96""","58° 17' 58.68""",-24.1894,-58.2996,NA,NA,NA,NA,7.815,-68.5,5670,3.1,23.9,5.23,63.9,59.7,3673,3610,63,175,408,0,167.4,1383.3,663,123,25,1200.1,24.72,123,25,1204.07,24.82,1.02,0.86,0.241,0.073,0.022,0.358,6.3,70.81,NA,8000,460,NA,NA,NA,0.1,1.5,0.05,0.5,0.4,27,2,1,1,4,0.05,0.1,0.05,NA,137,625,1,3,442,12.5,12.5,12.5,7,0.5,4,0.5,NA,3112,730,26,NA,5e-4,5e-4,0.25,NA,412.7,NA,NA,47.62,NA,1666.67,NA,NA,41.27,47222.22,6587.3,NA,NA,water_2016_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Puente Loyola,APL-320,2016-09-28,11:35,September 2016,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,Cuenca Paraguay,"25° 15' 52.2""","57° 43' 28.62""",-25.2645,-57.7246,NA,NA,NA,NA,8.278,-95.7,4550,2.4,24.4,10.86,132.6,20.3,2998,2958,40,40,331.55,0,224.1,928.9,726.3,90.24,24.51,1000.1,40.51,91.5,25,1005.4,42.79,0.54,0.43,0.287,0.055,0.022,0.199,5.7,45.34,NA,19000,240,NA,NA,NA,0.1,1.5,0.05,0.5,11,1,6,1,2,2,0.05,0.1,0.05,NA,397,NA,1,1.5,351,12.5,12.5,12.5,5,0.5,1.5,0.5,NA,1424,NA,12.5,NA,5e-4,5e-4,0.25,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,25675,8775,NA,NA,water_2016_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ruta 11,AR11-290,2016-09-28,9:30,September 2016,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Montelindo,NA,"25° 47' 16.26""","58° 1' 16.74""",-25.7878,-58.0213,NA,NA,NA,NA,8.187,-89.5,4250,2.3,22.4,8.44,99.6,46.3,3005,2925.6,79.4,40,352,13.5,275.4,727,952.1,109.1,17.84,1007.54,18.1,110.17,18.54,1009.17,19.29,1.48,1.44,0.144,0.08,0.022,0.22,3.6,41.62,NA,24000,200,NA,NA,NA,0.1,1.5,0.05,0.5,6,51,8,4,3,10,0.05,0.1,0.05,NA,456,971,6,1.5,228,12.5,12.5,12.5,6,0.5,1.5,0.5,NA,1554,1380,12.5,NA,5e-4,5e-4,0.82,NA,NA,NA,NA,NA,NA,5151.13,NA,NA,NA,13828.72,2229.22,NA,NA,water_2016_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
General Bruguez,PGB-250,2016-09-02,13:15,September 2016,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,Chaco Paraguayo,"24° 44' 54.06""","58° 49' 59.22""",-24.7483,-58.8331,NA,NA,NA,NA,8.474,-107.7,32600,20.5,25.5,8.82,123.1,4.32,19059.1,19005,54.1,10,1586.18,83.7,515.7,10016.1,7600.9,465,95,10040.7,24.93,470,100,10045.2,25.41,2.16,0.07,0.0025,0.022,0.022,0.21,2.7,521.74,NA,42000,100,NA,NA,NA,0.1,1.5,0.05,0.5,0.6,43,3,1,6,10,0.05,0.1,0.05,NA,179,836,2,3,44,12.5,40,49,29,0.5,4,0.5,NA,1662,4648,83,NA,5e-4,5e-4,0.62,NA,1497.23,794.82,NA,351.2,NA,70462.11,NA,739.37,44.36,27412.2,18.48,NA,NA,water_2016_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
San Josecito,BSJ-130,2016-09-01,15:24,September 2016,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilaya,Unidad 6,21 9 8.04,64 14 1.74,-21.1522,-64.2338,0.446,8,NA,NA,8.457,-107,1171,0.5,22.3,8.43,107.8,12.8,1014,986,22,24.5,552,31.25,156,56.8,512,90.9,77.9,90.5,7.86,95.2,85,97.5,11.5,0.015,0.09,NA,0.005,0.005,0.3,9.8,17,NA,NA,NA,900,34,18000,0.1,1.5,0.05,0.5,2,22,5,1,2,6,0.05,0.1,0.05,NA,314,908,1,1.5,59,12.5,12.5,12.5,5,0.5,1.5,0.5,NA,766,1303,12.5,NA,0.5,NA,0.019,NA,NA,NA,NA,NA,NA,17954.55,NA,NA,NA,20545.45,1681.82,NA,NA,water_2016_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Puente Aruma - Automática,BPA-140,2016-09-01,8:00,September 2016,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,Unidad 7,20 54 49.86,64 6 37.68,-20.9136,-64.1105,0.284,22,NA,NA,8.195,-90,1272,0.6,17.7,8.43,95.5,11.2,885,862,12,37.5,429,27.9,141,185,352,67.1,62.7,145,11.3,71.1,81,169,13.3,0.09,0.06,NA,NA,NA,0.1,13.7,15,NA,NA,NA,1500,90,52000,0.1,1.5,0.05,0.5,2,11,3,1,1,6,0.05,0.1,0.05,NA,228,542,1,1.5,49,12.5,12.5,12.5,4,0.5,1.5,0.5,NA,483,745,12.5,NA,0.5,5e-4,0.019,NA,NA,NA,NA,NA,NA,16916.67,NA,NA,NA,21250,3166.67,NA,NA,water_2016_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Villamontes,BVI-150,2016-08-31,17:00,August 2016,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,Unidad 7,21 15 31.5,63 30 41.52,-21.2588,-63.5114,0.221,23,NA,NA,8.311,-98,1466,0.7,20.6,8.52,100.4,14.8,970,940,16,62,390,28.7,144,295,279,72.9,50,163,9.03,73.8,69.2,183,15.5,0.09,0.06,NA,NA,NA,0.3,15.8,18,NA,NA,NA,280,17,17000,0.1,1.5,0.05,0.5,2,7,4,2,1,6,0.05,0.1,0.05,NA,255,536,1,1.5,38,12.5,12.5,31,4,0.5,1.5,0.5,NA,528,594,12.5,NA,0.5,5e-4,0.019,NA,NA,1937.5,NA,NA,NA,3625,NA,NA,NA,17062.5,1937.5,NA,NA,water_2016_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
El Puente,BEP-100,2016-08-30,15:40,August 2016,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,San Juan del Oro,Unidad 5,"21° 14' 21.53""","65° 12' 34.45""",-21.2393,-65.2096,0.3,2,NA,NA,8.414,-103.1,1492,0.7,19,7.94,114.4,13.4,1322,1312,10,11,663.2,10,160,101.9,460.3,111.75,85.61,108.6,9.7,113.79,85.61,109.1,11.5,0.18,0.09,0.45,0.01,0.005,2.9,2.5,2,12,0,0,NA,NA,3,0.1,1.5,0.05,0.5,3,29,7,1,1,4,0.05,0.1,0.05,NA,438,1833,1,1.5,50,12.5,12.5,12.5,4,0.5,1.5,0.5,NA,1210,2715,12.5,NA,5e-4,5e-4,NA,NA,NA,NA,NA,0,NA,88200,NA,NA,NA,77200,2100,NA,NA,water_2016_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palca Grande,BPG-110,2016-08-30,13:45,August 2016,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tumusla,Unidad 4,"20° 44' 32.22""","65° 14' 28.32""",-20.7422,-65.2412,0.428,3,NA,NA,8.338,-97.6,1297,0.6,15.5,8.42,111.8,59,1113,1062,51,18,498.2,10,130,74.9,349.9,74.49,68.98,81.3,9.9,74.49,68.98,88.3,11.8,0.09,0.09,0.49,0.01,2.15,2.2,5,7,39,4,1,NA,NA,23,0.1,1.5,0.05,0.5,2,140,6,1,2,7,0.05,0.1,0.05,NA,272,858,1,1.5,190,12.5,12.5,12.5,5,0.5,1.5,0.5,NA,1525,1000,12.5,NA,5e-4,5e-4,NA,NA,NA,NA,NA,NA,NA,2784.31,NA,NA,NA,24568.63,980.39,NA,NA,water_2016_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marca Borrada,AMB-165,2016-08-16,13:15,August 2016,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,NA,"22° 12' 48.84""","62° 41' 16.92""",-22.2136,-62.688,NA,NA,NA,NA,8.203,-85.6,1253,0.6,26.7,7.62,99.2,304,1186,825,361,6,302,NA,94,186,337,71,30.3,162,8.2,NA,NA,NA,NA,NA,NA,0.1,0.015,NA,NA,1,9,NA,NA,NA,7500,91,NA,0.1,1.5,0.05,0.5,1,18,4,2,1,4,0.05,0.1,0.05,NA,255,505,1,4,194,12.5,12.5,35,5,0.5,7,0.5,NA,6607,677,12.5,NA,NA,5e-4,0.019,NA,NA,96.95,NA,2.77,NA,476.45,NA,NA,8.31,17595.57,487.53,NA,NA,water_2016_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
