regulator,parameter,abbr,value,unit,media,fraction,notes,source,hqcr
Bolivian Law 1333,Chromium,Cr,NA,mg/l,water,NA,Class A limit,NA,hq
Bolivian Law 1333,Chromium,Cr,0.6,mg/l,water,NA,Class B limit,NA,hq
Bolivian Law 1333,Chromium,Cr,0.6,mg/l,water,NA,Class C limit,NA,hq
Bolivian Law 1333,Chromium,Cr,1.1,mg/l,water,NA,Class D limit,NA,hq
Bolivian Law 1333,Cobalt,NA,0.1,mg/l,water,NA,Class A limit,NA,hq
Bolivian Law 1333,Cobalt,NA,0.2,mg/l,water,NA,Class B limit,NA,hq
Bolivian Law 1333,Cobalt,NA,0.2,mg/l,water,NA,Class C limit,NA,hq
Bolivian Law 1333,Cobalt,NA,0.2,mg/l,water,NA,Class D limit,NA,hq
Bolivian Law 1333,Copper,Cu,0.05,mg/l,water,NA,Class A limit,NA,hq
Bolivian Law 1333,Copper,Cu,1,mg/l,water,NA,Class B limit,NA,hq
Bolivian Law 1333,Copper,Cu,1,mg/l,water,NA,Class C limit,NA,hq
Bolivian Law 1333,Copper,Cu,1,mg/l,water,NA,Class D limit,NA,hq
Bolivian Law 1333,Iron,Fe,0.3,mg/l,water,NA,Class A limit,NA,hq
Bolivian Law 1333,Iron,Fe,0.3,mg/l,water,NA,Class B limit,NA,hq
Bolivian Law 1333,Iron,Fe,1,mg/l,water,NA,Class C limit,NA,hq
Bolivian Law 1333,Iron,Fe,1,mg/l,water,NA,Class D limit,NA,hq
Bolivian Law 1333,Lead,Pb,0.05,mg/l,water,NA,Class A limit,NA,hq
Bolivian Law 1333,Lead,Pb,0.05,mg/l,water,NA,Class B limit,NA,hq
Bolivian Law 1333,Lead,Pb,0.05,mg/l,water,NA,Class C limit,NA,hq
Bolivian Law 1333,Lead,Pb,0.1,mg/l,water,NA,Class D limit,NA,hq
Bolivian Law 1333,Lithium,NA,2.5,mg/l,water,NA,Class A limit,NA,hq
Bolivian Law 1333,Lithium,NA,2.5,mg/l,water,NA,Class B limit,NA,hq
Bolivian Law 1333,Lithium,NA,2.5,mg/l,water,NA,Class C limit,NA,hq
Bolivian Law 1333,Lithium,NA,5,mg/l,water,NA,Class D limit,NA,hq
Bolivian Law 1333,Magnesium,Mg,100,mg/l,water,NA,Class A limit,NA,hq
Bolivian Law 1333,Magnesium,Mg,100,mg/l,water,NA,Class B limit,NA,hq
Bolivian Law 1333,Magnesium,Mg,150,mg/l,water,NA,Class C limit,NA,hq
Bolivian Law 1333,Magnesium,Mg,150,mg/l,water,NA,Class D limit,NA,hq
Bolivian Law 1333,Manganese,Mn,0.5,mg/l,water,NA,Class A limit,NA,hq
Bolivian Law 1333,Manganese,Mn,1,mg/l,water,NA,Class B limit,NA,hq
Bolivian Law 1333,Manganese,Mn,1,mg/l,water,NA,Class C limit,NA,hq
Bolivian Law 1333,Manganese,Mn,1,mg/l,water,NA,Class D limit,NA,hq
Bolivian Law 1333,Mercury,Hg,0.001,mg/l,water,NA,Class A limit,NA,hq
Bolivian Law 1333,Mercury,Hg,0.001,mg/l,water,NA,Class B limit,NA,hq
Bolivian Law 1333,Mercury,Hg,0.001,mg/l,water,NA,Class C limit,NA,hq
Bolivian Law 1333,Mercury,Hg,0.001,mg/l,water,NA,Class D limit,NA,hq
Bolivian Law 1333,Nickel,Ni,0.05,mg/l,water,NA,Class A limit,NA,hq
Bolivian Law 1333,Nickel,Ni,0.05,mg/l,water,NA,Class B limit,NA,hq
Bolivian Law 1333,Nickel,Ni,0.5,mg/l,water,NA,Class C limit,NA,hq
Bolivian Law 1333,Nickel,Ni,0.5,mg/l,water,NA,Class D limit,NA,hq
Bolivian Law 1333,Nitrate,NA,20,mg/l,water,NA,Class A limit,NA,hq
Bolivian Law 1333,Nitrate,NA,50,mg/l,water,NA,Class B limit,NA,hq
Bolivian Law 1333,Nitrate,NA,50,mg/l,water,NA,Class C limit,NA,hq
Bolivian Law 1333,Nitrate,NA,50,mg/l,water,NA,Class D limit,NA,hq
Bolivian Law 1333,Nitrogen,NA,5,mg/l,water,Total,Class A limit,NA,hq
