"","regulator","parameter","abbr","value","unit","media","limit","notes","source","hqcr"
"53","Bolivian Law 1333","Mercury","Hg",0.001,"mg/L","water","Class A","Class A limit",NA,"hq"
"54","USGS","Nickel","Ni",18,"mg/kg","sediment","TEL",NA,NA,"hq"
"55","Bolivian Law 1333","Nickel","Ni",0.05,"mg/L","water","Class A","Class A limit",NA,"hq"
"56","Bolivian Law 1333","Nitrate","NO3",20,"mg/L","water","Class A","Class A limit",NA,"hq"
"57","Bolivian Law 1333","Nitrogen","N",5,"mg/L","water","Class A","Class A limit",NA,"hq"
"58","Bolivian Law 1333","Oxygen Saturation",NA,80,"%","water","Class A","Class A limit",NA,"hq"
"59","Bolivian Law 1333","Phosphates","PO4",0.4,"mg/L","water","Class A","Class A limit",NA,"hq"
"60","Bolivian Law 1333","Selenium","Se",0.01,"mg/L","water","Class A","Class A limit",NA,"hq"
"61","Bolivian Law 1333","Silver","Ag",0.05,"mg/L","water","Class A","Class A limit",NA,"hq"
"62","Bolivian Law 1333","Sodium","Na",200,"mg/L","water","Class A","Class A limit",NA,"hq"
"63","Bolivian Law 1333","Sulfate","SO4",300,"mg/L","water","Class A","Class A limit",NA,"hq"
"64","Bolivian Law 1333","TDS",NA,1000,"mg/L","water","Class A","Class A limit",NA,"hq"
"65","EPA","Thallium","Tl",0.002,"mg/L","water",NA,NA,"https://www.epa.gov/ground-water-and-drinking-water/national-primary-drinking-water-regulations","hq"
"66","Bolivian Law 1333","Tin","Sn",2,"mg/L","water","Class A","Class A limit",NA,"hq"
"67","Bolivian Law 1333","Uranium","U",0.02,"mg/L","water","Class A","Class A limit",NA,"hq"
"68","Bolivian Law 1333","Vanadium","V",0.1,"mg/L","water","Class A","Class A limit",NA,"hq"
"69","USGS","Zinc","Zn",123,"mg/kg","sediment","TEL",NA,NA,"hq"
"70","Bolivian Law 1333","Zinc","Zn",0.2,"mg/L","water","Class A","Class A limit",NA,"hq"
"71","Bolivian Law 1333","pH high",NA,8.5,"u pH","water","Class A","Class A limit",NA,"hq"
"72","Bolivian Law 1333","pH low",NA,6,"u pH","water","Class A","Class A limit",NA,"hq"
