"","regulator","parameter","abbr","value","unit","media","limit","notes","source","hqcr","value_unif","unit_unif"
"28","USGS","Chromium","Cr",37.3,"mg/kg","sediment","TEL",NA,"https://pubs.usgs.gov/wri/wri034013/pdfs/wrir034013.pdf","hq",37.3,"mg/kg"
"29","Bolivian Law 1333","Chromium","Cr hex",0.05,"mg/L","water","Class A","Class A limit","https://www.consultores-ambientales.com.bo/wp-content/uploads/2016/04/4.-Reglamento-en-Mareria-de-Contaminacion-Hidrica-RMCH.pdf","hq",0.05,"mg/l"
"30","Bolivian Law 1333","Cobalt","Co",0.1,"mg/L","water","Class A","Class A limit","https://www.consultores-ambientales.com.bo/wp-content/uploads/2016/04/4.-Reglamento-en-Mareria-de-Contaminacion-Hidrica-RMCH.pdf","hq",0.1,"mg/l"
"31","Bolivian Law 1333","Color",NA,10,"mg/L","water","Class A","Class A limit","https://www.consultores-ambientales.com.bo/wp-content/uploads/2016/04/4.-Reglamento-en-Mareria-de-Contaminacion-Hidrica-RMCH.pdf","hq",10,"mg/l"
"32","USGS","Copper","Cu",35.7,"mg/kg","sediment","TEL",NA,"https://pubs.usgs.gov/wri/wri034013/pdfs/wrir034013.pdf","hq",35.7,"mg/kg"
"33","Bolivian Law 1333","Copper","Cu",0.05,"mg/L","water","Class A","Class A limit","https://www.consultores-ambientales.com.bo/wp-content/uploads/2016/04/4.-Reglamento-en-Mareria-de-Contaminacion-Hidrica-RMCH.pdf","hq",0.05,"mg/l"
"34","EPA","Cyanide","Cyanide",0.2,"mg/L","water",NA,NA,"https://www.epa.gov/ground-water-and-drinking-water/national-primary-drinking-water-regulations","hq",0.2,"mg/l"
"35","Bolivian Law 1333","DO",NA,50,"mg/l","water","Class D","Class D limit","https://www.consultores-ambientales.com.bo/wp-content/uploads/2016/04/4.-Reglamento-en-Mareria-de-Contaminacion-Hidrica-RMCH.pdf","hq",50,"mg/l"
"36","Bolivian Law 1333","Iron","Fe",0.3,"mg/L","water","Class A","Class A limit","https://www.consultores-ambientales.com.bo/wp-content/uploads/2016/04/4.-Reglamento-en-Mareria-de-Contaminacion-Hidrica-RMCH.pdf","hq",0.3,"mg/l"
"37","FAO","Lead","Pb",0.05,"mg/kg","food",NA,"Lowest MCL for Lead in local crops","https://www.fao.org/fao-who-codexalimentarius/sh-proxy/fr/?lnk=1&url=https%253A%252F%252Fworkspace.fao.org%252Fsites%252Fcodex%252FStandards%252FCXS%2B193-1995%252FCXS_193e.pdf","hq",0.05,"mg/kg"
"38","CDC","Lead","Pb",3.5,"ug/dL","human blood",NA,"Reference limit for children ages 1-5.","https://www.cdc.gov/lead-prevention/php/news-features/updates-blood-lead-reference-value.html","hq",3.5,"ug/dL"
"39","OEHHA","Lead","Pb",0.042,"mg/kg-d","inhalation",NA,NA,"https://oehha.ca.gov/sites/default/files/media/downloads/crnr/appendixa.pdf","cr",0.042,"mg/kg-d"
